#{"t_start": 1715068200.5146403, "env_id": "None"}
r,l,t
5.9986,14,112.568131
5.9984,16,113.182268
5.9986,14,113.259286
-6.5030003,30,113.563355
-9.502997,30,113.563355
-14.003001,30,113.563355
-6.003,30,113.563355
-7.5030003,30,113.563355
5.9986,14,113.877425
5.9983,17,114.177493
2.9974022,26,114.334528
5.9983,17,114.566581
14.98369,163,114.566581
13.983392,166,114.787135
4.4976997,23,114.94317
15.483792,162,115.178223
4.9978995,21,115.768356
5.9982,18,116.00541
5.998,20,116.00541
13.983294,167,116.00541
5.9983,17,116.164445
-6.003,30,116.164445
-6.003,30,116.164445
-6.5030003,30,116.164445
-6.003,30,116.164445
-6.003,30,116.164445
5.9985,15,116.399498
5.9984,16,117.011636
12.4841,159,117.085653
5.9985,15,117.16467
5.998,20,117.553758
5.9979,21,117.78881
2.9974022,26,118.688519
5.9983,17,118.765536
-6.003,30,118.765536
-6.003,30,118.765536
-6.003,30,118.765536
-6.003,30,118.765536
-6.003,30,118.765536
5.9982,18,119.233641
1.997398,26,119.310658
4.9974,26,120.082832
5.998,20,120.226865
5.4978995,21,120.379899
3.997602,24,121.357119
-6.003,30,121.357119
-6.003,30,121.357119
-8.002999,30,121.357119
-8.002997,30,121.357119
-10.503002,30,121.357119
5.9985,15,121.511154
5.9986,14,121.597173
2.4972024,28,121.747207
5.4979997,20,122.227315
5.9986,14,122.700421
5.9984,16,122.776439
5.9982,18,122.776439
4.9978,22,123.495106
5.9982,18,123.654145
5.9988,12,123.654145
-6.5030003,30,124.03624
-9.502997,30,124.03624
-10.503002,30,124.03624
-10.003002,30,124.03624
-8.502997,30,124.03624
5.4982,18,124.536355
5.9981,19,124.621374
5.9987,13,125.014217
4.4978995,21,125.475321
3.9978018,22,125.702372
5.9984,16,125.784391
5.9981,19,126.097461
5.9984,16,126.247495
-6.003,30,126.40353
-6.003,30,126.40353
-7.5030003,30,126.40353
-17.003002,30,126.40353
-6.5030003,30,126.40353
5.9983,17,127.350248
4.9978,22,127.515285
5.9981,19,127.911178
4.4976997,23,127.911178
5.9982,18,127.990195
5.9985,15,128.529316
11.9840975,159,128.67535
13.483491,165,128.907402
-6.5030003,30,129.061436
-6.003,30,129.061436
-6.003,30,129.061436
-6.003,30,129.061436
-6.003,30,129.061436
15.483991,160,129.134453
5.9989,11,129.647685
5.9981,19,129.647685
4.4974995,25,129.724702
4.4976997,23,129.967757
11.983997,160,129.967757
15.983992,160,131.091983
5.9983,17,131.333038
4.9978,22,131.412055
3.497702,23,131.489073
3.9978018,22,131.489073
-6.003,30,131.738129
-7.0030003,30,131.738129
-10.503002,30,131.738129
-6.003,30,131.738129
-6.003,30,131.738129
5.9987,13,132.785365
5.9984,16,132.85438
5.9985,15,132.85438
5.9983,17,133.071429
-14.00608,61,133.304482
5.9982,18,134.239692
5.9988,12,134.239692
-6.003,30,134.319711
-6.003,30,134.319711
-12.003,30,134.319711
-6.5030003,30,134.319711
-6.003,30,134.319711
4.9978995,21,134.471744
4.4976997,23,134.546761
3.497502,25,135.283928
5.9984,16,135.760035
4.4978,22,136.23314
5.998,20,136.392176
4.9978995,21,136.392176
5.9985,15,136.466193
-7.0030003,30,136.926297
-12.503002,30,136.926297
-6.003,30,136.926297
-8.002997,30,136.926297
-6.003,30,136.926297
5.9989,11,137.248369
5.4979997,20,137.329388
5.9985,15,137.56344
5.9981,19,138.008046
4.4978,22,138.489154
5.9987,13,138.570173
5.9987,13,138.657193
5.9982,18,139.460373
-9.002997,30,139.610407
-9.002997,30,139.610407
-6.003,30,139.611407
-12.003,30,139.611407
-9.002997,30,139.611407
5.9985,15,139.84546
5.998,20,140.074512
5.9981,19,140.074512
5.9986,14,140.847686
-4.5041037,41,141.416813
5.9986,14,141.497832
5.9984,16,141.664869
-6.003,30,142.282008
-6.5030003,30,142.282008
-6.003,30,142.282008
-6.003,30,142.282008
-10.503002,30,142.282008
5.9981,19,142.364028
5.9983,17,142.850136
5.9984,16,142.934155
4.9979997,20,143.012172
14.484092,159,143.096191
11.483798,162,143.096191
14.983391,166,143.181211
-3.5040033,40,143.33526
12.984493,155,143.33626
5.9987,13,144.239462
5.9987,13,144.327482
3.997502,25,144.735574
5.9983,17,144.735574
5.9983,17,145.070649
-7.0030003,30,145.070649
-8.502997,30,145.070649
-7.5030003,30,145.070649
-6.003,30,145.07165
-6.003,30,145.07165
11.483999,160,145.231685
5.9986,14,145.46874
5.9982,18,145.69579
5.9982,18,146.19241
3.997702,23,146.90557
5.9986,14,146.90657
4.9978995,21,147.077609
-6.003,30,147.796771
-8.502997,30,147.796771
-15.503002,30,147.796771
-6.003,30,147.796771
-10.503002,30,147.796771
5.9988,12,147.875788
2.4974022,26,148.115842
4.9978995,21,148.19386
5.9986,14,148.19386
5.4978995,21,148.570945
5.9984,16,149.620685
4.4978,22,149.867742
5.998,20,150.042285
-7.0030003,30,150.438374
-6.003,30,150.438374
-11.003001,30,150.438374
-8.002997,30,150.438374
-8.002997,30,150.438374
4.9978995,21,150.513391
1.4971977,28,150.668426
5.9983,17,150.978496
5.9983,17,151.204547
5.998,20,151.589862
5.9983,17,152.280135
5.998,20,152.36308
5.9983,17,152.857554
-6.003,30,153.112612
-6.003,30,153.112612
-6.003,30,153.112612
-6.003,30,153.112612
-6.003,30,153.112612
3.997502,25,153.272647
5.9985,15,153.524704
4.9978995,21,153.601721
4.4976997,23,154.19836
5.9987,13,154.270377
5.4979997,20,154.424412
5.4979997,20,155.323918
3.497602,24,155.721181
5.9987,13,155.721181
-7.5030003,30,155.721181
-6.003,30,155.721181
-6.5030003,30,155.721181
-11.002999,30,155.721181
-6.003,30,155.721181
5.9984,16,155.797199
5.998,20,156.035252
5.9986,14,156.42834
5.9988,12,156.662393
5.9987,13,156.733409
5.9981,19,157.272531
5.9982,18,157.422564
12.4839,161,157.422564
12.983795,162,157.422564
16.98369,163,157.500583
14.483895,161,157.853662
5.9986,14,158.087714
5.998,20,158.248254
-8.502997,30,158.327272
-6.003,30,158.327272
